QTL	FarmCPU_pos	FarmCPU_-logP	MLM_INFO(Chr-pos-(-log10))	Geno	Geno_pos	SIFT_Score	INDEL_Score	SV_Score	Score_peak	Score_TE	Score_annotate	Score_expression	Score_match	Score	Source_File	Mode	Annotation_locus	Symbol	Keyword	Locus_annotation	Locus_is_TE	Locus_is_expressed	Locus_is_representative	Recommendation_score	Recommendation_reason
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12190	1:6649789-6650522	5	5	5	8.0	5.0	0.0	18.0	*	36.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12190			expressed protein	N	Y	Y	36	pipeline_score=36; farm_logP=14.56; max_variant=5; recommendation_score=36
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12200	1:6653077-6655383	5	10	20	8.0	0.0	0.0	18.0	*	46.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12200			expressed protein	N	Y	Y	51	pipeline_score=46; farm_logP=14.56; max_variant=20; recommendation_score=51
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12210	1:6659149-6662582	5	*	*	8.0	0.0	0.0	22.0	*	35.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12210	OsALMT4	biomass; grain; growth; plasma membrane; salicylic acid; xylem	aluminum-activated malate transporter, putative, expressed	N	Y	Y	42	pipeline_score=35; farm_logP=14.56; max_variant=5; symbol=OsALMT4; keyword=biomass; grain; growth; plasma membrane; salicylic acid; xylem; recommendation_score=42
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12220	1:6663533-6665460	5	25	*	8.0	0.0	0.0	15.0	*	48.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12220			uncharacterized protein family UPF0016 domain containing protein, expressed	N	Y	Y	53	pipeline_score=48; farm_logP=14.56; max_variant=25; recommendation_score=53
QTL1	Chr1-6746309	14.56	*	Os01g0221800	1:6667187-6667623	*	*	*	8.0	0.0	0.0	15.0	*	23.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	Os01g0221800							23	pipeline_score=23; farm_logP=14.56; recommendation_score=23
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12230	1:6667854-6670442	20	10	*	8.0	0.0	0.0	18.0	*	46.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12230			peptidase C45, acyl-coenzyme A/6-aminopenicillanic acid acyl-transferase, putative, expressed	N	Y	Y	51	pipeline_score=46; farm_logP=14.56; max_variant=20; recommendation_score=51
QTL1	Chr1-6746309	14.56	*	Os01g0222001	1:6676522-6678026	5	10	*	8.0	0.0	0.0	5.0	*	23.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	Os01g0222001							26	pipeline_score=23; farm_logP=14.56; max_variant=10; recommendation_score=26
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12240	1:6689709-6693866	20	25	10	8.0	5.0	0.0	18.0	*	56.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12240			hypothetical protein	N	N	Y	61	pipeline_score=56; farm_logP=14.56; max_variant=25; recommendation_score=61
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12250	1:6694004-6696795	20	10	5	8.0	0.0	0.0	5.0	*	33.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12250			expressed protein	N	Y	Y	38	pipeline_score=33; farm_logP=14.56; max_variant=20; recommendation_score=38
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12260	1:6699462-6703371	5	10	10	8.0	0.0	0.0	10.0	*	28.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12260			vacuolar ATP synthase subunit E, putative, expressed	N	Y	Y	31	pipeline_score=28; farm_logP=14.56; max_variant=10; recommendation_score=31
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12270	1:6704403-6704666	5	5	*	8.0	0.0	0.0	18.0	*	31.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12270			expressed protein	N	Y	Y	31	pipeline_score=31; farm_logP=14.56; max_variant=5; recommendation_score=31
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12280	1:6706087-6710801	20	25	25	8.0	0.0	0.0	15.0	*	48.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12280			hAT dimerisation domain-containing protein, putative, expressed	N	Y	Y	53	pipeline_score=48; farm_logP=14.56; max_variant=25; recommendation_score=53
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12290	1:6711815-6714142	25	10	10	8.0	0.0	0.0	20.0	*	53.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12290			S-locus lectin protein kinase family protein, putative, expressed	N	Y	Y	58	pipeline_score=53; farm_logP=14.56; max_variant=25; recommendation_score=58
QTL1	Chr1-6746309	14.56	*	Os01g0222900	1:6715521-6716305	20	25	20	8.0	0.0	0.0	5.0	*	38.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	Os01g0222900							43	pipeline_score=38; farm_logP=14.56; max_variant=25; recommendation_score=43
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12304	1:6718349-6719948	20	25	*	8.0	0.0	0.0	18.0	*	51.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12304			esterase, putative, expressed	N	Y	Y	56	pipeline_score=51; farm_logP=14.56; max_variant=25; recommendation_score=56
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12310	1:6722205-6722600	25	10	*	8.0	0.0	10.0	0.0	*	43.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12310			histone deacetylase 19, putative, expressed	N	Y	Y	48	pipeline_score=43; farm_logP=14.56; max_variant=25; recommendation_score=48
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12320	1:6724939-6728626	25	5	5	8.0	0.0	0.0	15.0	*	48.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12320			GDSL-like lipase/acylhydrolase, putative, expressed	N	Y	Y	53	pipeline_score=48; farm_logP=14.56; max_variant=25; recommendation_score=53
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12330	1:6732152-6735486	25	25	25	8.0	0.0	0.0	5.0	*	38.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12330			expressed protein	N	Y	Y	43	pipeline_score=38; farm_logP=14.56; max_variant=25; recommendation_score=43
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12340	1:6735758-6746298	25	25	25	8.0	0.0	0.0	18.0	*	51.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12340			retrotransposon protein, putative, unclassified, expressed	Y	Y	Y	56	pipeline_score=51; farm_logP=14.56; max_variant=25; recommendation_score=56
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12350	1:6747476-6750728	25	25	25	8.0	0.0	0.0	20.0	*	53.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12350			retrotransposon protein, putative, unclassified, expressed	Y	Y	Y	58	pipeline_score=53; farm_logP=14.56; max_variant=25; recommendation_score=58
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12360	1:6751357-6757512	25	25	25	8.0	0.0	0.0	15.0	*	48.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12360			retrotransposon protein, putative, unclassified, expressed	Y	Y	Y	53	pipeline_score=48; farm_logP=14.56; max_variant=25; recommendation_score=53
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12374	1:6758675-6760456	18	25	25	8.0	0.0	0.0	10.0	*	43.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12374			expressed protein	Y	Y	Y	48	pipeline_score=43; farm_logP=14.56; max_variant=25; recommendation_score=48
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12381	1:6764450-6765888	20	10	*	8.0	0.0	0.0	10.0	*	38.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12381			GDSL-like lipase/acylhydrolase, putative, expressed	N	Y	Y	43	pipeline_score=38; farm_logP=14.56; max_variant=20; recommendation_score=43
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12390	1:6766497-6770164	18	10	10	8.0	0.0	0.0	5.0	*	31.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12390	OsSRLK	chlorophyll biogenesis; chloroplast; grain; panicle; photosystem; senescence; spikelets per panicle	inactive receptor kinase At2g26730 precursor, putative, expressed	N	Y	Y	41	pipeline_score=31; farm_logP=14.56; max_variant=18; symbol=OsSRLK; keyword=chlorophyll biogenesis; chloroplast; grain; panicle; photosystem; senescence; spikelets per panicle; recommendation_score=41
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12400	1:6774200-6777805	20	1	*	8.0	0.0	0.0	15.0	*	43.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12400			S-locus lectin protein kinase family protein, putative, expressed	N	Y	Y	48	pipeline_score=43; farm_logP=14.56; max_variant=20; recommendation_score=48
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12410	1:6781919-6784207	5	25	*	8.0	0.0	0.0	10.0	*	43.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12410	OsESG1	Kinase; auxin; auxin response; crown; crown root; development; drought; root; stress; stress response	receptor-like protein kinase, putative, expressed	N	Y	Y	55	pipeline_score=43; farm_logP=14.56; max_variant=25; symbol=OsESG1; keyword=Kinase; auxin; auxin response; crown; crown root; development; drought; root; stress; stress response; recommendation_score=55
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12420	1:6787075-6789731	18	10	*	8.0	0.0	0.0	10.0	*	36.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12420			receptor-like protein kinase, putative, expressed	N	Y	Y	39	pipeline_score=36; farm_logP=14.56; max_variant=18; recommendation_score=39
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12430	1:6790657-6793346	5	10	10	8.0	0.0	0.0	5.0	abnormal	23.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12430			receptor-like protein kinase, putative, expressed	N	Y	Y	29	pipeline_score=23; farm_logP=14.56; max_variant=10; match=abnormal; recommendation_score=29
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12440	1:6813714-6815546	20	10	*	8.0	0.0	0.0	5.0	*	33.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12440			AP2 domain containing protein, expressed	N	Y	Y	38	pipeline_score=33; farm_logP=14.56; max_variant=20; recommendation_score=38
QTL1	Chr1-6746309	14.56	*	Os01g0224166	1:6828512-6829334	20	10	10	8.0	0.0	0.0	5.0	*	33.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	Os01g0224166							38	pipeline_score=33; farm_logP=14.56; max_variant=20; recommendation_score=38
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12460	1:6830104-6832770	15	10	10	8.0	0.0	0.0	5.0	*	28.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12460			expressed protein	N	Y	Y	31	pipeline_score=28; farm_logP=14.56; max_variant=15; recommendation_score=31
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12464	1:6833050-6835300	5	10	0	8.0	0.0	0.0	5.0	*	23.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12464			CHCH domain containing protein, expressed	N	Y	Y	26	pipeline_score=23; farm_logP=14.56; max_variant=10; recommendation_score=26
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12470	1:6837120-6841269	15	10	0	8.0	0.0	0.0	10.0	*	33.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12470			mitochondrial carrier protein, putative, expressed	N	Y	Y	36	pipeline_score=33; farm_logP=14.56; max_variant=15; recommendation_score=36
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12480	1:6841526-6843538	15	10	15	8.0	0.0	0.0	15.0	*	38.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12480			expressed protein	N	Y	Y	41	pipeline_score=38; farm_logP=14.56; max_variant=15; recommendation_score=41
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12490	1:6857032-6860962	20	10	5	8.0	5.0	0.0	15.0	*	48.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12490	OsYUC4|OsYUCCA4	auxin	flavin monooxygenase, putative, expressed	N	Y	Y	60	pipeline_score=48; farm_logP=14.56; max_variant=20; symbol=OsYUC4|OsYUCCA4; keyword=auxin; recommendation_score=60
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12500	1:6863321-6863747	25	25	*	8.0	0.0	0.0	5.0	*	38.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12500			expressed protein	N	Y	Y	43	pipeline_score=38; farm_logP=14.56; max_variant=25; recommendation_score=43
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12510	1:6875888-6876100	20	5	*	8.0	0.0	0.0	0.0	*	28.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12510			expressed protein	N	Y	Y	33	pipeline_score=28; farm_logP=14.56; max_variant=20; recommendation_score=33
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12520	1:6879905-6881968	5	10	10	8.0	0.0	0.0	5.0	*	23.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12520			mitochondrial carrier protein, putative, expressed	N	Y	Y	26	pipeline_score=23; farm_logP=14.56; max_variant=10; recommendation_score=26
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12530	1:6889351-6896414	18	10	5	8.0	0.0	0.0	18.0	*	44.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12530			smr domain containing protein, expressed	N	Y	Y	47	pipeline_score=44; farm_logP=14.56; max_variant=18; recommendation_score=47
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12540	1:6897557-6904259	20	10	5	8.0	0.0	0.0	15.0	*	43.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12540			GTPase of unknown function domain containing protein, putative, expressed	N	Y	Y	48	pipeline_score=43; farm_logP=14.56; max_variant=20; recommendation_score=48
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12550	1:6904506-6909594	15	5	*	8.0	0.0	0.0	15.0	*	38.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12550			expressed protein	N	Y	Y	41	pipeline_score=38; farm_logP=14.56; max_variant=15; recommendation_score=41
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12560	1:6909691-6912131	15	10	0	8.0	0.0	0.0	10.0	*	33.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12560			3-methyl-2-oxobutanoate hydroxymethyltransferase, putative, expressed	N	Y	Y	36	pipeline_score=33; farm_logP=14.56; max_variant=15; recommendation_score=36
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12570	1:6912704-6915127	15	10	10	8.0	5.0	0.0	15.0	*	43.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12570			3-methyl-2-oxobutanoate hydroxymethyltransferase, putative, expressed	N	Y	Y	46	pipeline_score=43; farm_logP=14.56; max_variant=15; recommendation_score=46
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12580	1:6922082-6923336	20	10	10	8.0	0.0	0.0	10.0	*	38.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12580			late embryogenesis abundant protein, putative, expressed	N	Y	Y	43	pipeline_score=38; farm_logP=14.56; max_variant=20; recommendation_score=43
QTL1	Chr1-6746309	14.56	*	Os01g0225550	1:6922190-6923336	20	10	5	8.0	0.0	0.0	5.0	*	33.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	Os01g0225550							38	pipeline_score=33; farm_logP=14.56; max_variant=20; recommendation_score=38
QTL1	Chr1-6746309	14.56	*	Os01g0225700	1:6925469-6925910	20	25	10	8.0	0.0	0.0	5.0	*	38.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	Os01g0225700							43	pipeline_score=38; farm_logP=14.56; max_variant=25; recommendation_score=43
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12590	1:6928001-6934154	25	25	25	8.0	0.0	0.0	0.0	*	33.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12590			retrotransposon protein, putative, unclassified, expressed	Y	Y	Y	38	pipeline_score=33; farm_logP=14.56; max_variant=25; recommendation_score=38
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12600	1:6934782-6938200	25	25	25	8.0	0.0	0.0	20.0	*	53.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12600			retrotransposon protein, putative, unclassified, expressed	Y	Y	Y	58	pipeline_score=53; farm_logP=14.56; max_variant=25; recommendation_score=58
QTL1	Chr1-6746309	14.56	*	LOC_Os01g12610	1:6940383-6940772	25	25	15	8.0	0.0	0.0	5.0	*	38.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os01g12610			expressed protein	N	Y	Y	43	pipeline_score=38; farm_logP=14.56; max_variant=25; recommendation_score=43
QTL2	Chr2-3188505	19.06	*	LOC_Os02g05990	2:2988831-2991657	25	25	25	10.0	0.0	0.0	5.0	*	40.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os02g05990			transposon protein, putative, unclassified	Y	N	Y	45	pipeline_score=40; farm_logP=19.06; max_variant=25; recommendation_score=45
QTL2	Chr2-3188505	19.06	*	LOC_Os02g06000	2:2992173-2994784	25	25	25	10.0	0.0	0.0	5.0	*	40.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os02g06000			transposon protein, putative, unclassified, expressed	Y	Y	Y	45	pipeline_score=40; farm_logP=19.06; max_variant=25; recommendation_score=45
QTL2	Chr2-3188505	19.06	*	LOC_Os02g06010	2:2995485-2999838	20	10	20	10.0	0.0	0.0	10.0	*	40.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os02g06010			integral membrane protein, putative, expressed	N	Y	Y	45	pipeline_score=40; farm_logP=19.06; max_variant=20; recommendation_score=45
QTL2	Chr2-3188505	19.06	*	LOC_Os02g06030	2:3005602-3007978	20	5	25	10.0	0.0	0.0	10.0	*	45.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os02g06030			phytosulfokine receptor precursor, putative, expressed	N	Y	Y	50	pipeline_score=45; farm_logP=19.06; max_variant=25; recommendation_score=50
QTL2	Chr2-3188505	19.06	*	LOC_Os02g06040	2:3010776-3013999	25	25	25	10.0	0.0	0.0	0.0	*	35.0	RAP_Step2_jap_Ganguang.FarmCPUpeak_info	RAP_Step2_jap_Ganguang	LOC_Os02g06040			retrotransposon protein, putative, unclassified, expressed	Y	Y	Y	40	pipeline_score=35; farm_logP=19.06; max_variant=25; recommendation_score=40
